GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fishRoad,com.groupNine.app,mainWindow.new ActionListener() {...},42,0,0,0,7,0,2,0,2,0
fishRoad,com.groupNine.app,mainWindow.new ActionListener() {...},44,0,0,0,7,0,2,0,2,0
fishRoad,com.groupNine.app,Enemy.Node,0,15,0,0,0,5,0,1,0,1
fishRoad,com.groupNine.app,PunishmentList,17,59,2,6,3,10,2,5,1,2
fishRoad,com.groupNine.app,mainWindow.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
fishRoad,com.groupNine.app,mainWindow.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
fishRoad,com.groupNine.app,mainWindow.new MouseAdapter() {...},15,0,0,0,3,0,2,0,2,0
fishRoad,com.groupNine.app,reward,2,3,0,0,2,1,2,1,2,1
fishRoad,com.groupNine.app,Player,208,444,40,33,37,72,28,22,2,9
fishRoad,com.groupNine.app,Punishment,28,32,0,0,4,11,1,3,1,3
fishRoad,com.groupNine.app,endScreen,128,54,4,4,17,17,4,7,1,6
fishRoad,com.groupNine.app,regularReward,28,23,0,0,4,8,1,1,1,1
fishRoad,com.groupNine.app,endingCell,28,33,0,0,4,12,1,4,1,4
fishRoad,com.groupNine.app,mainWindow,485,0,5,0,110,0,13,0,9,0
fishRoad,com.groupNine.app,wallManager,108,54,6,0,9,12,4,2,1,2
fishRoad,com.groupNine.app,Moving,0,9,0,0,0,3,0,1,0,1
fishRoad,com.groupNine.app,gameMap,0,1117,2,28,0,40,2,26,0,13
fishRoad,com.groupNine.app,Entity,0,15,0,0,0,5,0,4,0,4
fishRoad,com.groupNine.app,gameWindow.new ActionListener() {...},17,6,0,0,5,1,1,1,1,1
fishRoad,com.groupNine.app,gameWindow.new ActionListener() {...},23,6,0,0,5,1,1,1,1,1
fishRoad,com.groupNine.app,gameWindow.new ActionListener() {...},9,6,0,0,3,1,1,1,1,1
fishRoad,com.groupNine.app,specialReward,28,126,2,6,4,23,3,7,1,5
fishRoad,com.groupNine.app,wallImage,0,6,0,0,0,2,0,1,0,1
fishRoad,com.groupNine.app,App,10,0,0,0,4,0,2,0,2,0
fishRoad,com.groupNine.app,rewardManager,17,88,2,12,3,15,2,8,1,2
fishRoad,com.groupNine.app,gameWindow,118,300,29,9,35,70,18,8,1,6
fishRoad,com.groupNine.app,handleInput,1,71,0,16,1,25,1,15,1,7
fishRoad,com.groupNine.app,Enemy,146,531,34,58,33,85,27,29,1,6
